avg_log2FC,mean_pct,sample_size,power,avg_log2FC_absolute
-1.114948565,0.0985,9,1,1.114948565
-1.114948565,0.0985,10,0.99,1.114948565
1.831017599,0.25,1,0.98,1.831017599
1.831017599,0.25,2,0.98,1.831017599
1.831017599,0.25,3,0.99,1.831017599
1.831017599,0.25,4,0.99,1.831017599
1.831017599,0.25,5,0.99,1.831017599
1.831017599,0.25,6,1,1.831017599
1.831017599,0.25,7,1,1.831017599
1.831017599,0.25,8,1,1.831017599
1.831017599,0.25,9,1,1.831017599
1.831017599,0.25,10,1,1.831017599
-1.014039507,0.239,1,0.93,1.014039507
-1.014039507,0.239,2,0.97,1.014039507
-1.014039507,0.239,3,0.98,1.014039507
-1.014039507,0.239,4,0.99,1.014039507
-1.014039507,0.239,5,0.99,1.014039507
-1.014039507,0.239,6,0.99,1.014039507
-1.014039507,0.239,7,0.99,1.014039507
-1.014039507,0.239,8,1,1.014039507
-1.014039507,0.239,9,1,1.014039507
-1.014039507,0.239,10,0.99,1.014039507
1.458770228,0.425,1,0.97,1.458770228
1.458770228,0.425,2,0.98,1.458770228
1.458770228,0.425,3,0.99,1.458770228
1.458770228,0.425,4,1,1.458770228
1.458770228,0.425,5,1,1.458770228
1.458770228,0.425,6,1,1.458770228
1.458770228,0.425,7,1,1.458770228
1.458770228,0.425,8,1,1.458770228
1.458770228,0.425,9,1,1.458770228
1.458770228,0.425,10,1,1.458770228
-0.634619938,0.441,1,0.06,0.634619938
-0.634619938,0.441,2,0.02,0.634619938
-0.634619938,0.441,3,0.03,0.634619938
-0.634619938,0.441,4,0.02,0.634619938
-0.634619938,0.441,5,0,0.634619938
-0.634619938,0.441,6,0.01,0.634619938
-0.634619938,0.441,7,0.02,0.634619938
-0.634619938,0.441,8,0,0.634619938
-0.634619938,0.441,9,0,0.634619938
-0.634619938,0.441,10,0.03,0.634619938
-1.547548224,0.0785,1,0.91,1.547548224
-1.547548224,0.0785,2,0.96,1.547548224
-1.547548224,0.0785,3,0.95,1.547548224
-1.547548224,0.0785,4,0.98,1.547548224
-1.547548224,0.0785,5,0.98,1.547548224
-1.547548224,0.0785,6,0.99,1.547548224
-1.547548224,0.0785,7,0.99,1.547548224
-1.547548224,0.0785,8,0.99,1.547548224
-1.547548224,0.0785,9,0.99,1.547548224
-1.547548224,0.0785,10,0.99,1.547548224
-1.010521494,0.172,1,0.21,1.010521494
-1.010521494,0.172,2,0.1,1.010521494
-1.010521494,0.172,3,0.04,1.010521494
-1.010521494,0.172,4,0.04,1.010521494
-1.010521494,0.172,5,0.04,1.010521494
-1.010521494,0.172,6,0.03,1.010521494
-1.010521494,0.172,7,0.05,1.010521494
-1.010521494,0.172,8,0.02,1.010521494
-1.010521494,0.172,9,0.02,1.010521494
-1.010521494,0.172,10,0.01,1.010521494
-0.572277236,0.639,1,0.93,0.572277236
-0.572277236,0.639,2,0.99,0.572277236
-0.572277236,0.639,3,0.98,0.572277236
-0.572277236,0.639,4,1,0.572277236
-0.572277236,0.639,5,1,0.572277236
-0.572277236,0.639,6,1,0.572277236
-0.572277236,0.639,7,1,0.572277236
-0.572277236,0.639,8,1,0.572277236
-0.572277236,0.639,9,1,0.572277236
-0.572277236,0.639,10,1,0.572277236
1.033907227,0.3855,1,0.45,1.033907227
1.033907227,0.3855,2,0.74,1.033907227
1.033907227,0.3855,3,0.9,1.033907227
1.033907227,0.3855,4,0.88,1.033907227
1.033907227,0.3855,5,0.89,1.033907227
1.033907227,0.3855,6,0.91,1.033907227
1.033907227,0.3855,7,0.93,1.033907227
1.033907227,0.3855,8,0.95,1.033907227
1.033907227,0.3855,9,0.94,1.033907227
1.033907227,0.3855,10,0.96,1.033907227
-3.144822984,0.0955,1,0.93,3.144822984
-3.144822984,0.0955,2,0.97,3.144822984
-3.144822984,0.0955,3,0.98,3.144822984
-3.144822984,0.0955,4,0.99,3.144822984
-3.144822984,0.0955,5,1,3.144822984
-3.144822984,0.0955,6,0.99,3.144822984
-3.144822984,0.0955,7,1,3.144822984
-3.144822984,0.0955,8,0.99,3.144822984
-3.144822984,0.0955,9,1,3.144822984
-3.144822984,0.0955,10,1,3.144822984
-0.619385183,0.4875,1,0.98,0.619385183
-0.619385183,0.4875,2,0.92,0.619385183
-0.619385183,0.4875,3,0.98,0.619385183
-0.619385183,0.4875,4,0.98,0.619385183
-0.619385183,0.4875,5,1,0.619385183
-0.619385183,0.4875,6,1,0.619385183
-0.619385183,0.4875,7,0.99,0.619385183
-0.619385183,0.4875,8,1,0.619385183
-0.619385183,0.4875,9,0.99,0.619385183
-0.619385183,0.4875,10,1,0.619385183
-1.641764177,0.091,1,0.8,1.641764177
-1.641764177,0.091,2,0.89,1.641764177
-1.641764177,0.091,3,0.93,1.641764177
-1.641764177,0.091,4,0.95,1.641764177
-1.641764177,0.091,5,0.98,1.641764177
-1.641764177,0.091,6,0.98,1.641764177
-1.641764177,0.091,7,0.98,1.641764177
-1.641764177,0.091,8,0.98,1.641764177
-1.641764177,0.091,9,0.98,1.641764177
-1.641764177,0.091,10,0.98,1.641764177
-0.702726552,0.3635,1,0.92,0.702726552
-0.702726552,0.3635,2,0.97,0.702726552
-0.702726552,0.3635,3,0.96,0.702726552
-0.702726552,0.3635,4,0.96,0.702726552
-0.702726552,0.3635,5,0.98,0.702726552
-0.702726552,0.3635,6,0.98,0.702726552
-0.702726552,0.3635,7,0.99,0.702726552
-0.702726552,0.3635,8,0.99,0.702726552
-0.702726552,0.3635,9,0.99,0.702726552
-0.702726552,0.3635,10,0.99,0.702726552
-0.570091578,0.273,1,0.89,0.570091578
-0.570091578,0.273,2,0.94,0.570091578
-0.570091578,0.273,3,0.97,0.570091578
-0.570091578,0.273,4,0.98,0.570091578
-0.570091578,0.273,5,0.98,0.570091578
-0.570091578,0.273,6,0.98,0.570091578
-0.570091578,0.273,7,0.99,0.570091578
-0.570091578,0.273,8,0.99,0.570091578
-0.570091578,0.273,9,0.99,0.570091578
-0.570091578,0.273,10,0.99,0.570091578
-1.467891019,0.109,1,0.85,1.467891019
-1.467891019,0.109,2,0.94,1.467891019
-1.467891019,0.109,3,0.94,1.467891019
-1.467891019,0.109,4,0.97,1.467891019
-1.467891019,0.109,5,0.98,1.467891019
-1.467891019,0.109,6,0.98,1.467891019
-1.467891019,0.109,7,0.99,1.467891019
-1.467891019,0.109,8,0.98,1.467891019
-1.467891019,0.109,9,0.99,1.467891019
-1.467891019,0.109,10,0.99,1.467891019
-0.411351098,0.378,1,0.62,0.411351098
-0.411351098,0.378,2,0.78,0.411351098
-0.411351098,0.378,3,0.87,0.411351098
-0.411351098,0.378,4,0.89,0.411351098
-0.411351098,0.378,5,0.89,0.411351098
-0.411351098,0.378,6,0.95,0.411351098
-0.411351098,0.378,7,0.93,0.411351098
-0.411351098,0.378,8,0.95,0.411351098
-0.411351098,0.378,9,0.96,0.411351098
-0.411351098,0.378,10,0.97,0.411351098
-0.707453622,0.231,1,0.91,0.707453622
-0.707453622,0.231,2,0.97,0.707453622
-0.707453622,0.231,3,0.99,0.707453622
-0.707453622,0.231,4,0.99,0.707453622
-0.707453622,0.231,5,0.99,0.707453622
-0.707453622,0.231,6,0.99,0.707453622
-0.707453622,0.231,7,0.99,0.707453622
-0.707453622,0.231,8,1,0.707453622
-0.707453622,0.231,9,0.99,0.707453622
-0.707453622,0.231,10,0.99,0.707453622
-8.482932998,0.0445,1,0.97,8.482932998
-8.482932998,0.0445,2,0.99,8.482932998
-8.482932998,0.0445,3,0.99,8.482932998
-8.482932998,0.0445,4,1,8.482932998
-8.482932998,0.0445,5,1,8.482932998
-8.482932998,0.0445,6,1,8.482932998
-8.482932998,0.0445,7,1,8.482932998
-8.482932998,0.0445,8,1,8.482932998
-8.482932998,0.0445,9,1,8.482932998
-8.482932998,0.0445,10,1,8.482932998
-3.599723298,0.1925,1,0.99,3.599723298
-3.599723298,0.1925,2,1,3.599723298
-3.599723298,0.1925,3,1,3.599723298
-3.599723298,0.1925,4,1,3.599723298
-3.599723298,0.1925,5,1,3.599723298
-3.599723298,0.1925,6,1,3.599723298
-3.599723298,0.1925,7,1,3.599723298
-3.599723298,0.1925,8,1,3.599723298
-3.599723298,0.1925,9,1,3.599723298
-3.599723298,0.1925,10,1,3.599723298
-5.941802486,0.0305,1,0.92,5.941802486
-5.941802486,0.0305,2,0.97,5.941802486
-5.941802486,0.0305,3,0.98,5.941802486
-5.941802486,0.0305,4,0.99,5.941802486
-5.941802486,0.0305,5,0.99,5.941802486
-5.941802486,0.0305,6,0.99,5.941802486
-5.941802486,0.0305,7,0.99,5.941802486
-5.941802486,0.0305,8,0.99,5.941802486
-5.941802486,0.0305,9,1,5.941802486
-5.941802486,0.0305,10,1,5.941802486
1.275939854,0.3895,1,0.99,1.275939854
1.275939854,0.3895,2,0.98,1.275939854
1.275939854,0.3895,3,1,1.275939854
1.275939854,0.3895,4,1,1.275939854
1.275939854,0.3895,5,1,1.275939854
1.275939854,0.3895,6,1,1.275939854
1.275939854,0.3895,7,1,1.275939854
1.275939854,0.3895,8,1,1.275939854
1.275939854,0.3895,9,1,1.275939854
1.275939854,0.3895,10,1,1.275939854
0.57668047,0.722,1,0.97,0.57668047
0.57668047,0.722,2,0.99,0.57668047
0.57668047,0.722,3,0.99,0.57668047
0.57668047,0.722,4,1,0.57668047
0.57668047,0.722,5,1,0.57668047
0.57668047,0.722,6,1,0.57668047
0.57668047,0.722,7,1,0.57668047
0.57668047,0.722,8,1,0.57668047
0.57668047,0.722,9,1,0.57668047
0.57668047,0.722,10,1,0.57668047
-0.912646312,0.2825,1,0.96,0.912646312
-0.912646312,0.2825,2,0.98,0.912646312
-0.912646312,0.2825,3,0.99,0.912646312
-0.912646312,0.2825,4,0.99,0.912646312
-0.912646312,0.2825,5,1,0.912646312
-0.912646312,0.2825,6,1,0.912646312
-0.912646312,0.2825,7,1,0.912646312
-0.912646312,0.2825,8,1,0.912646312
-0.912646312,0.2825,9,1,0.912646312
-0.912646312,0.2825,10,1,0.912646312
-0.480919245,0.2125,1,0.64,0.480919245
-0.480919245,0.2125,2,0.8,0.480919245
-0.480919245,0.2125,3,0.9,0.480919245
-0.480919245,0.2125,4,0.92,0.480919245
-0.480919245,0.2125,5,0.93,0.480919245
-0.480919245,0.2125,6,0.95,0.480919245
-0.480919245,0.2125,7,0.95,0.480919245
-0.480919245,0.2125,8,0.95,0.480919245
-0.480919245,0.2125,9,0.96,0.480919245
-0.480919245,0.2125,10,0.97,0.480919245
-0.750825287,0.375,1,0.89,0.750825287
-0.750825287,0.375,2,0.95,0.750825287
-0.750825287,0.375,3,0.97,0.750825287
-0.750825287,0.375,4,0.98,0.750825287
-0.750825287,0.375,5,0.98,0.750825287
-0.750825287,0.375,6,0.99,0.750825287
-0.750825287,0.375,7,0.99,0.750825287
-0.750825287,0.375,8,1,0.750825287
-0.750825287,0.375,9,1,0.750825287
-0.750825287,0.375,10,0.99,0.750825287
-7.26093812,0.04,1,0.94,7.26093812
-7.26093812,0.04,2,0.97,7.26093812
-7.26093812,0.04,3,0.98,7.26093812
-7.26093812,0.04,4,0.99,7.26093812
-7.26093812,0.04,5,0.99,7.26093812
-7.26093812,0.04,6,0.99,7.26093812
-7.26093812,0.04,7,0.99,7.26093812
-7.26093812,0.04,8,1,7.26093812
-7.26093812,0.04,9,1,7.26093812
-7.26093812,0.04,10,1,7.26093812
-1.889431769,0.111,1,0.96,1.889431769
-1.889431769,0.111,2,0.97,1.889431769
-1.889431769,0.111,3,0.99,1.889431769
-1.889431769,0.111,4,0.98,1.889431769
-1.889431769,0.111,5,1,1.889431769
-1.889431769,0.111,6,0.99,1.889431769
-1.889431769,0.111,7,1,1.889431769
-1.889431769,0.111,8,0.99,1.889431769
-1.889431769,0.111,9,1,1.889431769
-1.889431769,0.111,10,1,1.889431769
-1.83448036,0.2025,1,0.97,1.83448036
-1.83448036,0.2025,2,0.99,1.83448036
-1.83448036,0.2025,3,0.99,1.83448036
-1.83448036,0.2025,4,0.99,1.83448036
-1.83448036,0.2025,5,1,1.83448036
-1.83448036,0.2025,6,1,1.83448036
-1.83448036,0.2025,7,1,1.83448036
-1.83448036,0.2025,8,1,1.83448036
-1.83448036,0.2025,9,1,1.83448036
-1.83448036,0.2025,10,1,1.83448036
-0.796187181,0.129,1,0.92,0.796187181
-0.796187181,0.129,2,0.95,0.796187181
-0.796187181,0.129,3,0.97,0.796187181
-0.796187181,0.129,4,0.98,0.796187181
-0.796187181,0.129,5,0.99,0.796187181
-0.796187181,0.129,6,0.99,0.796187181
-0.796187181,0.129,7,0.99,0.796187181
-0.796187181,0.129,8,0.99,0.796187181
-0.796187181,0.129,9,0.99,0.796187181
-0.796187181,0.129,10,0.99,0.796187181
-0.7851148,0.3585,1,0.91,0.7851148
-0.7851148,0.3585,2,0.89,0.7851148
-0.7851148,0.3585,3,0.95,0.7851148
-0.7851148,0.3585,4,0.97,0.7851148
-0.7851148,0.3585,5,0.99,0.7851148
-0.7851148,0.3585,6,0.98,0.7851148
-0.7851148,0.3585,7,0.99,0.7851148
-0.7851148,0.3585,8,0.98,0.7851148
-0.7851148,0.3585,9,0.99,0.7851148
-0.7851148,0.3585,10,0.99,0.7851148
-0.948307587,0.1875,1,0.93,0.948307587
-0.948307587,0.1875,2,0.96,0.948307587
-0.948307587,0.1875,3,0.97,0.948307587
-0.948307587,0.1875,4,0.98,0.948307587
-0.948307587,0.1875,5,0.98,0.948307587
-0.948307587,0.1875,6,0.99,0.948307587
-0.948307587,0.1875,7,0.99,0.948307587
-0.948307587,0.1875,8,1,0.948307587
-0.948307587,0.1875,9,0.99,0.948307587
-0.948307587,0.1875,10,1,0.948307587
-0.398316334,0.873,1,0.91,0.398316334
-0.398316334,0.873,2,0.97,0.398316334
-0.398316334,0.873,3,0.97,0.398316334
-0.398316334,0.873,4,0.99,0.398316334
